,Global_Average,Top_IsoForest_Average,Top_LOF_Average,Iso_Pct_Difference,LOF_Pct_Difference
gender,0.504756495811444,0.45,0.76,-10.848101265822784,50.567651195499295
SeniorCitizen,0.1621468124378816,0.55,0.11,239.19877408056044,-32.16024518388792
Partner,0.4830327985233565,0.59,0.17,22.144914756025862,-64.80570252792475
Dependents,0.2995882436461735,0.38,0.24,26.840758293838874,-19.890047393364927
tenure,-2.421272988533637e-17,0.7117451840447169,-1.0498177504837958,-2.939549515545381e+18,4.3358091196465326e+18
PhoneService,0.9031662643759761,0.33,1.0,-63.46187706335481,10.721584656500552
MultipleLines,0.42183728524776376,0.14,0.14,-66.81184786267251,-66.81184786267251
OnlineSecurity,0.2866676132329973,0.67,0.02,133.72015849430414,-93.02327885091628
OnlineBackup,0.3448814425670879,0.58,0.05,68.17373404693286,-85.5022643062989
DeviceProtection,0.3438875479199205,0.66,0.05,91.9232039636664,-85.46036333608589
TechSupport,0.2902172369728809,0.6,0.04,106.74168297455968,-86.21722113502936
StreamingTV,0.38435325855459324,0.62,0.0,61.30993719985223,-100.0
StreamingMovies,0.3879028822944768,0.6,0.0,54.6778916544656,-100.0
PaperlessBilling,0.5922192247621753,0.33,0.52,-44.27739151282666,-12.194677535363226
MonthlyCharges,-6.406284782161914e-17,-0.021792555281105176,-0.9399520158428898,3.4017462573293268e+16,1.4672342048548242e+18
TotalCharges,-1.452763793120182e-16,0.4188954345114869,-0.9111151127889591,-2.883438013084026e+17,6.271598432613096e+17
InternetService_DSL,0.34374556297032516,0.71,0.0,106.54812061131761,-100.0
InternetService_Fiber_optic,0.4395854039471816,0.29,0.3,-34.02874677002584,-31.75387596899225
InternetService_No,0.21666903308249325,0.0,0.7,-100.0,223.07339449541286
Contract_Month_to_month,0.5501916796819537,0.07,1.0,-87.27716129032258,81.75483870967743
Contract_One_year,0.20914383075394008,0.61,0.0,191.66530889341482,-100.0
Contract_Two_year,0.24066448956410622,0.32,0.0,32.965191740412976,-100.0
PaymentMethod_Bank_transfer_automatic,0.21922476217520942,0.26,0.0,18.599740932642494,-100.0
PaymentMethod_Credit_card_automatic,0.2161010932841119,0.25,0.01,15.686596583442833,-95.37253613666228
PaymentMethod_Electronic_check,0.3357944057929859,0.27,0.29,-19.5936575052854,-13.637632135306553
PaymentMethod_Mailed_check,0.22887973874769274,0.22,0.7,-3.8796526054590545,205.83746898263024
