Churn,IsoForest_Anomaly_Score,LOF_Anomaly_Score,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber_optic,InternetService_No,Contract_Month_to_month,Contract_One_year,Contract_Two_year,PaymentMethod_Bank_transfer_automatic,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,PCA1,PCA2,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN_PCA,Cluster_HDBSCAN_Gower
1,-0.10676103388409497,71.1803315663232,1,1,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,-1.4860351280674797,-0.9969909361554373,False,False,True,True,False,False,False,False,False,True,-2.614147097261373,-0.20596524418283482,0,0,9,-1
0,-0.10419579774324883,24.77384231550056,1,0,0,0,-1.2367242199587352,1,1,0,0,0,0,0,0,0,-1.3265026160515319,-0.9784827877188147,False,False,True,True,False,False,False,False,False,True,-2.3891382731235655,-0.15786160058455756,0,0,9,-1
0,-0.10545965680209218,12.807838122666073,0,1,0,0,-1.1552834925186746,1,0,0,0,0,0,0,0,0,-1.4860351280674797,-0.9654895822013289,False,False,True,True,False,False,False,False,False,True,-2.5377729182791118,-0.26366855145897516,0,0,8,-1
0,-0.08772255650808591,10.345705250939249,0,0,0,1,-1.2774445836787656,1,1,0,0,0,0,0,0,0,-1.3547531650543558,-0.9952482141929903,False,False,True,True,False,False,False,False,False,True,-2.41468026811072,-0.2752314673085983,0,0,-1,-1
0,-0.08772255650808591,9.410704546911413,0,0,0,1,-1.2774445836787656,1,1,0,0,0,0,0,0,0,-1.3082228490497045,-0.9946305405860468,False,False,True,True,False,False,False,False,False,True,-2.3927613140292148,-0.2508019631086701,0,0,-1,-1
0,-0.10773248145435582,8.077623766547436,0,0,0,0,-1.1960038562387048,1,1,0,0,0,0,0,0,0,-1.3348116010523623,-0.9677396789123366,False,False,True,True,False,False,False,False,False,True,-2.3659192415790633,-0.17656888576805846,0,0,8,-1
0,-0.10426685571937183,6.617790696770024,1,0,0,0,-1.1552834925186746,1,1,0,0,0,0,0,0,0,-1.3132082400502028,-0.9608790899209304,False,False,True,True,False,False,False,False,False,True,-2.3354722208503658,-0.1938350986919521,0,0,9,-1
0,-0.12053284095693201,6.606213997663391,0,0,1,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,-1.4760643460664828,-0.9873728757044631,False,False,True,True,False,False,False,False,False,True,-2.5169058680107392,-0.4247631324935379,0,0,8,-1
0,-0.11605788598947708,4.919507068236594,1,0,1,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,-1.4876969250676457,-0.9890714781235571,False,False,True,True,False,False,False,False,False,True,-2.525477168308413,-0.4380772245691362,0,0,9,-1
1,-0.11840780029075065,4.847010588123519,1,0,0,1,-1.2774445836787656,1,0,0,0,0,0,0,0,0,-1.5126238800701375,-0.9973438925022622,False,False,True,True,False,False,False,False,False,True,-2.6438917964586777,-0.4330690704548702,0,0,9,-1
